"X","Item.label","English..translation","Item.description","Additional..comments","Response.scale....anchoring","X.1","Conditional.branching","X.2","Where.does.this.item.appear.","X.3","X.4","X.5","X.6","X.7","What.populations.have.the.items.been.used.with.","X.8","X.9","X.10","X.11","X.12","X.13","X.14","Which.datasets.does..this.item.appear.in.","Contact.person.for.each.dataset....Email","Are.datasets.","X.15","X.16","X.17","Citation.s..for.each.item.group.of.items","Adapted.from.an.existing.item...Optional.","Reference.for.existing.item..Optional.","How.have.items.been..administered..e.g..pen.paper...phone..PalmPilot..etc.","How.long.after.the..beep.could.begin.filling.out.the.item.","Psychometrics..optional.","X.18","Remarks..optional.","X.19","X.20","X.21"
"","ik voel me onstpannen","i feel relaxed","positive affect ","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me wantrouwig","i feel suspicious","psychotic symptom","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","with adolescents this item may require additonal explanation, such as: ""this item means that you have the feeling that you can't trust the people around you.""",""
"","ik voel me verdrietig","i feel sad","negative affect","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me gestrest ","i feel stressed","negative affect","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me rusteloos","i feel restless","negative affect","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","with adolescents this item may require additonal explanation such as: ""this item refers to the feeling that you can't sit still.""",""
"","over het algemeen gezien voel ik me nu goed","in general i feel well at the moment","positive affect","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik kan me goed concentreren","i can concentrate well","concentration","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me zeker van mezelf","i feel self-confident","confidence","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik kan mezelf zijn","i can be myself","identity","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik twijfel wie ik ben","i doubt who i am","identity","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik weet waar ik voor sta","i know what i stand for","identity","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","with adolescents this item may require additional explanation such as: ""this item is about your values, and not about physical position.""",""
"","met wie ben ik?","who is with me?","social context","","familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others) - niemand (nobody)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","participants may interpret this item in multiple ways. the item refers to the physical presence of other people.",""
"","ik vind het fijn om alleen te zijn","i find being alone pleasant","experience of being alone","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","niemand (nobody)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik wil alleen zijn","i want to be alone","experience of being alone","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","niemand (nobody)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me buitengesloten","i feel an outsider","experience of being alone","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","niemand (nobody)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik wil liever met anderen zijn","i prefer to have company","experience of being alone","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","niemand (nobody)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","we zijn samen iets aan het doen (praten, leren, gamen, etc.) ","we are doing something together (talking, studying, playing etc.)","experience of social context when in company","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","any of the following, or multiple: familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me op mijn gemak in dit gezelschap","i feel comfortable in this company","experience of social context when in company","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","any of the following, or multiple: familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me gewaardeerd door dit gezelschap","i feel valued in this company","experience of social context when in company","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","any of the following, or multiple: familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik hoor erbij","i belong ","experience of social context when in company","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","any of the following, or multiple: familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik zou liever alleen zijn","i would rather be alone","experience of social context when in company","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","any of the following, or multiple: familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik ben virtueel in contact met anderen","i am in contact with others online","social context","","yes - no","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","participants may interpret this item in multiple ways. this item requires additional explanation, such as: ""this item refers to interacting with someone who is not physically there, through an electronic device, such chatting on whatsapp on your phone or online gaming.""",""
"","we zijn samen iets aan het doen","we are doing something together","experience of social context when in virtual company","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","yes","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me op mijn gemak in dit gezelschap","i feel comfortable in this company","experience of social context when in virtual company","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","yes","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me gewaardeerd door dit gezelschap","i feel valued in this company","experience of social context when in virtual company","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","yes","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik hoor erbij","i belong with the people i am interacting with","experience of social context when in virtual company","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","yes","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik zou graag virtueel in contact zijn met anderen","i would like to be in virtual contact with others","experience of being alone and not interacting with others virtually","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","no","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","hier heb ik zelf voor gekozen","this is my choice","experience of being alone and not interacting with others virtually","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","no","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","ik voel me buitengesloten","i feel like an outsider","experience of being alone and not interacting with others virtually","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","no","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","wat ben je aan het doen?","what are you doing?","physical context","","vrije tijd actief (sporten, uitgaan) (leisure active) � vrije tijd passief (tv kijken, lezen) (leisure passive) � school/werk (school/job) � huishoudelijke taken (chores) - onderweg (on my way) - persoonlijke hygi�ne (wassen/tanden poetsen/aankleden) (personal hygiene) - iets anders (other) - niets (nothing) ","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","kirtley, o. j., achterhof, r., hagemann, n., hermans, k. s. f. m., hiekkaranta, a. p., lecei, a., boets, b., ﾅ, , & myin-germeys, i. (in preparation). sigma, a longitudinal study of adolescent mental health and development using the experience sampling method: cohort characteristics and protocol. ","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","",""
"","dit vind ik leuk","i like this activity","experience of physical context","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","this item may require additional explanation, such as: ""this item refers to what you were doing before the moment of the beep. it does not refer to your experience answering these questions.""",""
"","ik zou liever iets anders te doen","i would rather do something else","experience of physical context","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","myin-germeys, i., van os, j., schwartz, j. e., stone, a. a., & delespaul, p. a. (2001). emotional reactivity to daily life stress in psychosis.ﾠarchives of general psychiatry,ﾠ58(12), 1137-1144.","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","this item may require additional explanation, such as: ""this item refers to what you were doing before the moment of the beep. it does not refer to your experience answering these questions.""",""
"","dit is moelijk voor mij","this is difficult for me","experience of physical context","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","this item may require additional explanation, such as: ""this item refers to what you were doing before the moment of the beep. it does not refer to your experience answering these questions.""",""
